date,description,amount,type
2024-01-01,Client Payment,2533.41,income
2024-01-03,AWS Hosting,869.77,expense
2024-01-04,Enterprise License,43480.79,income
2024-01-06,Consulting Retainer,2100.98,income
2024-01-06,Google Workspace,650.58,expense
2024-01-08,Client Payment,2961.28,income
2024-01-08,Internet,823.60,expense
2024-01-08,AWS Hosting,706.87,expense
2024-01-09,Google Workspace,513.18,expense
2024-01-10,Payroll,9864.80,expense
2024-01-11,Internet,971.09,expense
2024-01-13,Investment Dividend,5151.80,income
2024-01-15,Payroll,5179.27,expense
2024-01-17,Investment Dividend,4699.26,income
2024-01-18,Internet,564.18,expense
2024-01-19,Payroll,7300.23,expense
2024-01-19,Investment Dividend,3902.80,income
2024-01-20,Office Rent,3000.00,expense
2024-01-22,Consulting Retainer,2304.00,income
2024-01-23,Office Rent,3000.00,expense
2024-01-25,Marketing Team,989.02,expense
2024-01-25,Enterprise License,49718.80,income
2024-01-27,Investment Dividend,1173.68,income
2024-01-28,Client Payment,4087.16,income
2024-01-29,Investment Dividend,2621.48,income
2024-01-30,Client Payment,4194.03,income
2024-01-30,Consulting Retainer,2837.13,income
2024-01-30,Enterprise License,29320.46,income
2024-02-01,SaaS Subscription,1815.80,income
2024-02-03,Enterprise License,33326.82,income
2024-02-05,Investment Dividend,4939.92,income
2024-02-06,Consulting Retainer,3545.49,income
2024-02-07,SaaS Subscription,4893.83,income
2024-02-08,Client Payment,1989.47,income
2024-02-08,Client Payment,5081.76,income
2024-02-08,Consulting Retainer,5756.54,income
2024-02-10,Payroll,6492.88,expense
2024-02-10,Investment Dividend,2408.76,income
2024-02-10,Google Workspace,275.18,expense
2024-02-12,Client Payment,2887.28,income
2024-02-14,Enterprise License,45088.25,income
2024-02-15,Enterprise License,31665.50,income
2024-02-17,Enterprise License,45081.66,income
2024-02-19,Consulting Retainer,2454.63,income
2024-02-20,Consulting Retainer,4791.05,income
2024-02-20,Office Rent,3000.00,expense
2024-02-20,Consulting Retainer,4774.56,income
2024-02-20,Marketing Team,266.09,expense
2024-02-21,Client Payment,2670.34,income
2024-02-22,Google Workspace,278.09,expense
2024-02-22,Payroll,6185.19,expense
2024-02-24,Marketing Team,472.49,expense
2024-02-25,Client Payment,4136.28,income
2024-02-25,Enterprise License,24291.42,income
2024-02-27,Investment Dividend,4688.83,income
2024-02-28,Enterprise License,24733.92,income
2024-03-01,Google Workspace,774.32,expense
2024-03-01,Investment Dividend,5230.14,income
2024-03-02,Consulting Retainer,5666.53,income
2024-03-04,Consulting Retainer,6127.26,income
2024-03-05,Client Payment,1431.17,income
2024-03-07,Internet,981.81,expense
2024-03-07,Client Payment,2497.03,income
2024-03-08,AWS Hosting,141.39,expense
2024-03-09,Investment Dividend,2244.29,income
2024-03-11,AWS Hosting,380.60,expense
2024-03-12,Client Payment,5239.54,income
2024-03-12,Marketing Team,260.53,expense
2024-03-14,Client Payment,3177.88,income
2024-03-16,Consulting Retainer,4695.06,income
2024-03-17,Investment Dividend,3774.53,income
2024-03-17,Software Tools,911.02,expense
2024-03-17,SaaS Subscription,6219.93,income
2024-03-18,AWS Hosting,407.21,expense
2024-03-18,Consulting Retainer,2656.27,income
2024-03-20,Google Workspace,854.63,expense
2024-03-21,Consulting Retainer,3091.35,income
2024-03-23,Payroll,5650.83,expense
2024-03-25,Payroll,6891.51,expense
2024-03-27,Marketing Team,793.54,expense
2024-03-27,Enterprise License,49979.19,income
2024-03-27,AWS Hosting,277.71,expense
2024-03-27,Consulting Retainer,4913.68,income
2024-03-27,Software Tools,650.99,expense
2024-03-28,Client Payment,3316.24,income
2024-03-28,Consulting Retainer,2341.52,income
2024-03-29,SaaS Subscription,1341.07,income
2024-03-31,Software Tools,611.70,expense
2024-04-01,Consulting Retainer,4544.97,income
2024-04-02,Google Workspace,778.48,expense
2024-04-04,Payroll,7489.10,expense
2024-04-05,Investment Dividend,2491.64,income
2024-04-07,AWS Hosting,585.48,expense
2024-04-07,Software Tools,623.10,expense
2024-04-07,SaaS Subscription,4698.40,income
2024-04-08,Enterprise License,46443.73,income
2024-04-08,Enterprise License,21412.56,income
2024-04-08,Enterprise License,47711.18,income
2024-04-09,SaaS Subscription,6017.62,income
2024-04-10,Payroll,5856.98,expense
2024-04-12,Consulting Retainer,5011.29,income
2024-04-12,Software Tools,192.67,expense
2024-04-13,Internet,816.56,expense
2024-04-15,Google Workspace,421.90,expense
2024-04-15,Investment Dividend,2119.67,income
2024-04-15,Payroll,7327.62,expense
2024-04-17,SaaS Subscription,2808.04,income
