date,description,amount,type
2024-01-01,Broken Equipment,1048.91,expense
2024-01-01,Refund Received,438.58,income
2024-01-03,Office Spoilage,2145.28,expense
2024-01-03,Small Gig,214.65,income
2024-01-05,Broken Equipment,2303.55,expense
2024-01-06,Legal Fees,2217.54,expense
2024-01-06,Refund Received,409.19,income
2024-01-08,Small Gig,201.27,income
2024-01-09,Emergency Loan Payment,1235.08,expense
2024-01-11,Emergency Loan Payment,2960.91,expense
2024-01-11,Office Rent,1027.46,expense
2024-01-12,Overdue Tax,1176.65,expense
2024-01-13,Legal Fees,1127.23,expense
2024-01-14,Office Rent,882.70,expense
2024-01-14,Overdue Tax,1009.93,expense
2024-01-15,Refund Received,193.11,income
2024-01-16,Emergency Loan Payment,746.01,expense
2024-01-17,Refund Received,698.21,income
2024-01-17,Office Rent,1315.64,expense
2024-01-17,Late Client Payment,574.64,income
2024-01-17,Overdue Tax,2499.35,expense
2024-01-18,Marketing Disaster,1571.56,expense
2024-01-18,Legal Fees,1628.83,expense
2024-01-18,Marketing Disaster,2223.85,expense
2024-01-20,Refund Received,354.61,income
2024-01-20,MASSIVE EMERGENCY LOAN PAYMENT SURCHARGE,16563.25,expense
2024-01-21,Emergency Loan Payment,1836.27,expense
2024-01-22,Office Rent,1012.61,expense
2024-01-23,Broken Equipment,2728.17,expense
2024-01-24,MASSIVE SERVER PENALTY SURCHARGE,16856.22,expense
2024-01-25,Small Gig,512.12,income
2024-01-25,Broken Equipment,1401.79,expense
2024-01-26,Marketing Disaster,622.75,expense
2024-01-26,Refund Received,336.24,income
2024-01-28,Legal Fees,2594.61,expense
2024-01-29,Emergency Loan Payment,765.60,expense
2024-01-30,Marketing Disaster,2114.10,expense
2024-01-31,Overdue Tax,2740.64,expense
2024-02-01,Emergency Loan Payment,1456.92,expense
2024-02-02,Emergency Loan Payment,2578.00,expense
2024-02-03,Overdue Tax,622.72,expense
2024-02-03,Overdue Tax,2671.23,expense
2024-02-03,Legal Fees,2914.38,expense
2024-02-03,Office Spoilage,1334.76,expense
2024-02-04,Marketing Disaster,907.72,expense
2024-02-05,Legal Fees,1663.75,expense
2024-02-05,Server Penalty,891.27,expense
2024-02-07,Emergency Loan Payment,1683.31,expense
2024-02-07,Emergency Loan Payment,2897.44,expense
2024-02-09,Emergency Loan Payment,2036.77,expense
2024-02-09,Small Gig,632.89,income
2024-02-09,Small Gig,226.08,income
2024-02-11,MASSIVE LEGAL FEES SURCHARGE,11910.02,expense
2024-02-12,Small Gig,480.09,income
2024-02-13,Marketing Disaster,2904.35,expense
2024-02-14,Emergency Loan Payment,1176.06,expense
2024-02-15,Server Penalty,820.35,expense
2024-02-15,Broken Equipment,1684.72,expense
2024-02-17,Server Penalty,1774.04,expense
2024-02-18,Refund Received,471.61,income
2024-02-18,Office Spoilage,1328.90,expense
2024-02-18,MASSIVE OFFICE RENT SURCHARGE,19621.02,expense
2024-02-20,Legal Fees,857.72,expense
2024-02-21,Marketing Disaster,2044.46,expense
2024-02-22,Office Rent,2720.55,expense
2024-02-22,Marketing Disaster,2918.14,expense
2024-02-24,Legal Fees,1462.56,expense
2024-02-25,Overdue Tax,2458.43,expense
2024-02-27,Server Penalty,2147.88,expense
2024-02-28,Broken Equipment,2358.35,expense
2024-02-29,Server Penalty,2754.06,expense
2024-03-01,Server Penalty,2636.74,expense
2024-03-01,Marketing Disaster,1131.47,expense
2024-03-03,Refund Received,84.52,income
2024-03-04,Server Penalty,2430.22,expense
2024-03-04,Overdue Tax,2684.91,expense
2024-03-05,Office Rent,2772.04,expense
2024-03-05,Broken Equipment,1545.40,expense
2024-03-05,Server Penalty,2745.34,expense
2024-03-05,Broken Equipment,1528.63,expense
2024-03-06,Marketing Disaster,2644.75,expense
2024-03-07,Emergency Loan Payment,517.01,expense
2024-03-09,Office Spoilage,633.14,expense
2024-03-09,Office Rent,2472.96,expense
2024-03-09,MASSIVE SERVER PENALTY SURCHARGE,19469.60,expense
2024-03-10,Emergency Loan Payment,2719.82,expense
2024-03-11,Marketing Disaster,1968.02,expense
2024-03-13,Office Spoilage,2846.40,expense
2024-03-14,Office Spoilage,1870.15,expense
2024-03-14,Legal Fees,1283.20,expense
2024-03-15,Refund Received,293.68,income
2024-03-17,Emergency Loan Payment,698.20,expense
2024-03-17,Office Rent,2081.64,expense
2024-03-17,Emergency Loan Payment,1009.12,expense
2024-03-17,MASSIVE OFFICE SPOILAGE SURCHARGE,11207.20,expense
2024-03-18,Office Spoilage,2231.75,expense
2024-03-18,Emergency Loan Payment,2339.53,expense
2024-03-18,Marketing Disaster,1842.90,expense
2024-03-20,Emergency Loan Payment,2136.25,expense
2024-03-21,Legal Fees,1814.29,expense
2024-03-22,Emergency Loan Payment,1768.67,expense
2024-03-23,Legal Fees,2929.15,expense
2024-03-23,MASSIVE OFFICE RENT SURCHARGE,10959.50,expense
2024-03-25,MASSIVE OVERDUE TAX SURCHARGE,11353.55,expense
2024-03-26,Small Gig,255.11,income
2024-03-28,Overdue Tax,2724.82,expense
2024-03-30,Overdue Tax,1658.98,expense
2024-03-30,Broken Equipment,1776.06,expense
2024-03-31,Office Rent,2729.96,expense
2024-04-01,Server Penalty,1388.23,expense
2024-04-03,Marketing Disaster,2707.33,expense
2024-04-05,Late Client Payment,400.71,income
2024-04-07,Overdue Tax,1597.52,expense
2024-04-09,Office Spoilage,1551.69,expense
